	L6_T0_1	L6_T0_2	L6_T0_3	L6_T0_4	L6_T0_5	L6_T0_6	L6_T0_7	L6_T0_8	L6_T0_9	L6_T0_10	L6_T0_11	L6_T0_12	L6_T0_13	L6_T0_14	L6_T0_15	L6_T0_16	L6_T1_1	L6_T1_2	L6_T1_3	L6_T1_4	L6_T1_5	L6_T1_6	L6_T1_7	L6_T1_8	L6_T1_9	L6_T1_10	L6_T1_11	L6_T1_12	L6_T1_13	L6_T1_14	L6_T1_15	L6_T1_16	8M1_T0_1	8M1_T0_2	8M1_T0_3	8M1_T0_4	8M1_T0_5	8M1_T0_6	8M1_T0_7	8M1_T0_8	8M1_T0_9	8M1_T0_10	8M1_T0_11	8M1_T0_12	8M1_T1_1	8M1_T1_2	8M1_T1_3	8M1_T1_4	8M1_T1_5	8M1_T1_6	8M1_T1_7	8M1_T1_8	8M1_T1_9	8M1_T1_10	8M1_T1_11	8M1_T1_12	6M4_T0_1	6M4_T0_2	6M4_T0_3	6M4_T0_4	6M4_T0_5	6M4_T0_6	6M4_T0_7	6M4_T0_8	6M4_T0_9	6M4_T0_10	6M4_T0_11	6M4_T0_12	6M4_T0_13	6M4_T1_1	6M4_T1_2	6M4_T1_3	6M4_T1_4	6M4_T1_5	6M4_T1_6	6M4_T1_7	6M4_T1_8	6M4_T1_9	6M4_T1_10	6M4_T1_11	6M4_T1_12	6M4_T1_13
Veillonella_dispar	0	0.0018	0	0	0	0	0	0	0.00135	0	0	0.00055	0	0	0.00616	0.00405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322	0	0	0	0	0	0	0	0	0	0	0	0	0.02096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0.01265	0	0	0	0
Veillonella_parvula	0	0.47135	0	0	0	0	0	0	0.04836	0	0	0.03866	0.24373	0	0.08172	0	0.02938	0	0	0	0	0	0	0	0	0.0411	0.00069	0	0	0	0	0	0	0	0.68249	0	0.51094	0	3.51765	0.01387	0	0	0.00365	0.25573	0	0.02742	0.02915	0.97829	0.02963	0.0065	0.0477	0	0.27314	0	0	0.06462	0	0	0	0	0	0	0	0	0	0	0	0.13098	0	0.10842	0	0.56308	0	0.00376	0.0197	0.00744	0	1.54076	0	0	0.00414	0
Veillonella_unclassified	0.00364	2.23975	0	0.00418	0	0	0	0	0	0.00798	0.00266	0.0035	0.02892	0	0.02038	0	0.00943	0	0	0	0	0	0	0	0	0.01411	0.00685	0	0.00101	0.00149	0	0	0	0	0	0.00096	1.86447	0	0	0.00788	0	0	0.00193	0.01853	0	0.00053	0.0048	0.23507	0.02201	0.00378	0.01879	0.0022	0.54428	0	0.00335	0.01061	0	0	0	0	0	0	0	0	0	0	0	0	0.00143	0.03144	0	0.03562	0	0.0118	0.23352	0.00406	0	2.3498	0	0.00202	0.01141	0
Fusobacterium_mortiferum	1.22575	0	0	0	0	0	0	0	0	0.01258	0	0	20.4093	0	0.00292	0	0	0	0	0	0	0	0	0	0	0	0.02891	0	0	0.35287	0	0	0	3.18793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum	0.00995	0	0	0	0.01312	0	0	0	0	0	0	0.0041	0	0	0	0	0	0	0	0.11724	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00556	0	0	0	0	0	0	0	0	0	1.78443	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0.41111	0	0	0	0	0	0	0	0	0	0	0	0.00056	0	0	0	0	0	0	0	0.03919	0	0	0	0
Fusobacterium_ulcerans	0	0.08403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01532	0	0	0	0	0	0	0	0.08598	0.20141	0	0	0	0	0	0	0	0	0	0	2.68541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61909	0.34485	0	0	0	0.28756	0	0	0	0	0	0	0.03964	0	0	0	1.73368
Fusobacterium_varium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44774	0	0	0	0.14515	0	0	0	0	0	0	0	0	0	0
Leptotrichia_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas_diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271	0	0	0	0	0.0249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ochrobactrum_anthropi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01309	0	0	0	0	0	0	0	0	0
