Taxonomy	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
M358	2245456.619	48778.77812	2272127.002	92342116.52	93259626.65	111730435.6	10163170.67	1955945.785	1787479.062	6373787.847	1274293.187	309018.4516
M359	13693460.31	16055028	15275709.84	14548809.24	14212881.63	15347925.31	14744295.08	13090184.94	14698190.99	14760982.83	15733020.92	12264406.8
M360	125086.7108	128278.3455	123715.498	209162.8248	249884.357	130352.1465	132178.9496	181237.7999	142512.9889	132159.7465	130803.7011	244572.6633
M361	6699865.829	201035.9046	19904385.79	4708489.753	9715806.958	8632330.959	26111236.05	11711965.48	9696618.021	21810760.74	5757123.346	6079299.262
M362	146440625.8	629182.8797	158376317.1	9121508.616	35619322.68	21040628.8	193456775.4	25088185.82	36651691.46	265829928.3	29854426.24	17155662.59
M363	530047.203	27470.93972	817436.7821	504255.1269	1777669.238	860223.2852	4728853.052	377538.4144	748833.0997	2051765.118	1140918.758	748890.7309
M364	88565386.65	28610692.2	32963684.35	6821198.336	29683735.42	17488982.24	40195862.33	182971966.2	47839895.58	42920670.46	48389100.87	256717301.6
M365	6421157.737	130953.5137	393548.557	8705382.854	4917624.198	8674752.279	33197412.97	126443019.9	4507989.262	6387963.441	1726605.915	161669736.2
M366	5309730.437	44699.84987	253566.5524	1229812.944	153241.4769	1056943.134	2571411.518	15927451.41	2755428.232	2472130.767	647632.4345	35437514.69
M367	192146998.6	434102146.4	18106385.35	110185209.2	123172185.6	92751163.13	170137702.7	774926351.5	89530159.4	156058550.2	78119742.3	1683803875
M368	14929861.34	3973546.752	7587513.556	4571825.722	15590883.99	6325205.759	14148625.16	13438450.85	7768761.863	14203091.35	6743946.71	19030414.77
M369	3642584.093	72259.30474	5663477.289	735954.4732	1221884.872	589172.9061	7055729.763	3130128.956	4409370.2	3664791.357	1338180.376	1294867.237
M370	105456000.8	19505225.69	76791226.88	39115307.99	35792852	28849955.91	81302677.76	75399795.52	90336537.1	52580103.99	21956295.7	46538419.26
M371	12765069.17	211729.3259	58406815.6	90490867.92	42046807.37	74942181.16	80570851.39	7920358.677	33310059.1	101546871	19466077.32	6064136.643
M372	5032673.556	49516.24446	18253659.2	1098516.393	6878703.796	4928945.493	26647479.58	22119680.48	10957012.67	17208420.59	4820006.203	8698829.946
M373	3427200.121	4297850.858	6935311.088	6347221.878	7837421.4	9151335.567	12297849.43	1954222.839	3752826.81	5661542.974	3801862.806	1796404.476
